date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:26	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:46:29	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar.asc	(from http://www.apache.org/dist/aries/)
13:46:30	13645/13645	---M--	200	added ('OK')	application/java-archive	etag:%22354d-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar	(from http://www.apache.org/dist/aries/)
13:46:30	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0.jar.sha1	(from http://www.apache.org/dist/aries/)
13:46:33	841/841	---M-Z	200	added ('OK')	text/plain	etag:%22349-5106483218663-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:46:35	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:46:41	50129/50129	---M--	200	added ('OK')	application/zip	etag:%22c3d1-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0-source-release.zip	(from http://www.apache.org/dist/aries/)
13:46:43	841/841	---M-Z	200	added ('OK')	text/plain	etag:%22349-5106483218663-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0.jar.asc	(from http://www.apache.org/dist/aries/)
13:46:45	423906/423906	---M--	200	added ('OK')	application/java-archive	etag:%22677e2-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar	(from http://www.apache.org/dist/aries/)
13:46:45	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.noosgi-1.1.0.jar.sha1	(from http://www.apache.org/dist/aries/)
13:46:49	590221/590221	---M--	200	added ('OK')	application/java-archive	etag:%229018d-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar	(from http://www.apache.org/dist/aries/)
13:46:49	10779/10779	---M--	200	added ('OK')	application/zip	etag:%222a1b-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip	(from http://www.apache.org/dist/aries/)
13:46:49	841/841	---M-Z	200	added ('OK')	text/plain	etag:%22349-5106483218663-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:46:51	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:46:55	11461/11461	---M--	200	added ('OK')	application/java-archive	etag:%222cc5-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar	(from http://www.apache.org/dist/aries/)
13:46:55	841/841	---M-Z	200	added ('OK')	text/plain	etag:%22349-5106483218663-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar.asc	(from http://www.apache.org/dist/aries/)
13:46:57	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-5106483218663%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.web-1.1.0.jar.sha1	(from http://www.apache.org/dist/aries/)
13:47:01	833/833	---M-Z	200	added ('OK')	text/plain	etag:%22341-585dfcd91b33c-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:47:03	128/128	---M-Z	200	added ('OK')	text/plain	etag:%2280-585dfcd91b33c-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2-source-release.zip.sha512	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2-source-release.zip.sha512	(from http://www.apache.org/dist/aries/)
13:47:05	11939/11939	---M--	200	added ('OK')	text/html	etag:%222ea3-585dfcd91b33c%22	http://www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2.pom	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2.html	(from http://www.apache.org/dist/aries/)
13:47:07	833/833	---M-Z	200	added ('OK')	text/plain	etag:%22341-585dfcd91b33c-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2.pom.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.cdi-1.0.2.pom.asc	(from http://www.apache.org/dist/aries/)
